,text,sentiment,word_count,char_count,avg_word,stopwords,hastags,numerics,upper,sentiment_encoded,sentiment_textblob
0,"i`d responded,",neutral,8,36,4.142857142857143,3,0,0,1,1,neutral
1,soon sad miss san diego!!!,negative,11,46,3.6,4,0,0,2,0,negative
2,boss building me...,negative,5,25,4.2,2,0,0,0,0,neutral
3,interview! leave alone,negative,6,31,5.2,2,0,0,0,0,neutral
4,"sons ****, couldn`t put release already bought",negative,15,75,4.357142857142857,7,0,0,0,0,neutral
5, shameless plugging best rangers forum earth,neutral,12,92,6.75,4,0,0,0,1,positive
6,2am feedings baby fun smiles coos,positive,14,64,3.642857142857143,8,0,0,0,2,positive
7,soooo high,neutral,2,10,4.5,0,0,0,0,1,positive
8,,neutral,4,12,3.0,2,0,0,0,1,neutral
9,journey!? wow... u became cooler. hehe... (is possible!?),positive,12,69,5.8,2,0,0,0,2,positive
10,"much love hopeful, reckon chances minimal =p never gonna cake stuff",neutral,24,107,3.652173913043478,10,0,0,1,1,positive
11,really really song love story taylor swift,positive,11,56,4.181818181818182,2,0,0,1,2,positive
12,sharpie running dangerously low ink,negative,8,44,4.625,2,0,0,0,0,neutral
13,want music tonight lost voice.,negative,12,50,3.25,6,0,0,0,0,neutral
14,test test lg env2,neutral,6,26,3.5,2,0,0,1,1,neutral
15,"uh oh, sunburned",negative,5,21,3.4,1,0,0,1,0,neutral
16,"s`ok, trying plot alternatives speak *sigh*",negative,10,53,4.888888888888889,3,0,0,0,0,neutral
17,"i`ve sick past days thus, hair looks wierd. didnt hat would look... ",negative,27,137,4.44,12,0,0,0,0,negative
18,back home gonna miss every one,negative,13,42,3.75,2,0,0,0,0,neutral
19,hes,neutral,6,26,3.5,5,0,0,0,1,neutral
20,"oh marly, sorry!! hope find soon!! <3 <3",neutral,15,59,3.4615384615384617,3,0,0,1,1,positive
21,playing ghost online really interesting. new updates kirin pet metamorph third job. can`t wait dragon pet,positive,25,135,4.625,7,0,0,0,2,positive
22,cleaning house family comming later today..,neutral,12,65,4.5,6,0,0,0,1,neutral
23,gotta restart computer .. thought win7 supposed put end constant rebootiness,neutral,18,98,4.5,6,0,0,1,1,neutral
24,see wat mean bout foll0w friidays... called lose f0llowers friday... smh,neutral,13,79,5.153846153846154,0,0,0,1,1,negative
25,"free fillin` app ipod fun, im addicted",positive,11,51,3.727272727272727,4,0,0,0,2,positive
26,sorry.,negative,4,12,4.5,0,0,0,0,0,negative
27,way malaysia...no internet access twit,negative,9,51,4.777777777777778,3,0,0,0,0,neutral
28,juss came backk berkeleyy ; omg madd fun havent minute . whassqoodd ?,positive,23,109,3.9545454545454546,9,0,0,0,2,positive
29,went sleep power cut noida power back working,negative,18,78,3.588235294117647,9,0,0,0,0,neutral
30,home now. seen new twitter design? quite....heavenly isn`****?,positive,13,84,5.538461538461538,2,0,0,0,2,positive
31,hope unni make audition . fighting dahye unni !,positive,12,58,3.9166666666666665,3,0,0,0,2,neutral
32,consolation bmi tested hahaha says obesed well much unhappy 10 minutes.,negative,28,126,3.8076923076923075,11,0,1,3,0,negative
33,that`s funny. cute kids.,positive,7,31,5.0,1,0,0,0,2,positive
34,"ahhh, slept game. gonna try best watch tomorrow though. hope play army.",neutral,22,102,4.05,5,0,0,2,1,positive
35,"thats it, end. tears fears vs eric prydz, dj hero ",neutral,16,84,4.928571428571429,3,0,0,1,1,neutral
36,born raised nyc living texas past 10 years! still miss ny,negative,19,82,3.5555555555555554,6,0,1,3,0,negative
37,"case wonder, really busy today coming adding tons new blogs updates stay tuned",neutral,24,123,4.166666666666667,11,0,0,0,1,positive
38,soooooo sleeeeepy!!! last o` school today....sniffle....,negative,10,72,6.3,2,0,0,0,0,neutral
39,"little happy wine jeje ok it`sm free time cares, jaja love",positive,20,89,3.5,7,0,0,1,2,positive
40,"car happy, big big dent boot! hoping theyre write off, crossing fingers waiting",neutral,21,107,4.35,6,0,0,0,1,positive
41,im avid fan **** magazine love magazines,positive,12,57,3.8333333333333335,5,0,0,0,2,positive
42,mayday?!,neutral,1,8,8.0,0,0,0,1,1,neutral
43,"ratt rocked nashville tonite..one thing sucked, encore! 80`s still fun show. pearcy hott bad boy look",neutral,26,138,4.52,0,0,0,25,1,negative
44,love to! available 5pm. dear? would love help convert vids.ã¯â¿â½,positive,22,105,4.421052631578948,6,0,0,1,2,positive
45,girl hair salon asked 'shall trim eyebrows!' old feel?,neutral,18,84,3.7222222222222223,5,0,0,2,1,positive
46,egh blah boooooooooooo dunno wanna work hangovers suckkkkkk im drunk mess!,negative,17,89,4.5625,4,0,0,2,0,negative
47,:visiting friendster facebook,neutral,5,36,6.4,2,0,0,0,1,neutral
48,"donbt peel prawns, also dont shopping, running money crawling round car looking",negative,24,126,4.291666666666667,9,0,0,0,0,negative
49,case? new one last week thrilled mine.,negative,18,77,3.5294117647058822,7,0,0,1,0,positive
50,check  connect tweeple hate twitter,neutral,15,98,6.0,7,0,0,0,1,negative
51,"also bored school, third freelesson( freistunde )",neutral,11,60,5.0,3,0,0,0,1,negative
52,hm... us guess...,neutral,7,28,3.6666666666666665,1,0,0,1,1,neutral
53,****...u dissappointed past days,negative,11,56,4.6,6,0,0,0,0,negative
54,romance zero funny,positive,5,22,4.5,1,0,0,0,2,positive
55,i`d rather early run..but morning runner,neutral,12,55,4.0,4,0,0,1,1,positive
56,bah coworker ran work late bag smacked knee really hurts,negative,19,87,3.8333333333333335,8,0,0,0,0,negative
57,back later. ,neutral,6,45,8.0,2,0,0,0,1,neutral
58,aw. torn ace hearts #hunchback,negative,7,34,4.666666666666667,1,1,0,0,0,neutral
59,fun speaking of?,neutral,7,30,4.0,3,0,0,0,1,positive
60,"lost friends, alone sleepy..i wanna home",negative,12,60,4.083333333333333,4,0,0,0,0,neutral
61,haha yes,neutral,3,9,3.5,0,0,0,0,1,positive
62,give easily,negative,5,19,3.0,2,0,0,1,0,positive
